,Document_No,Dominant_Topic,Topic_Perc_Contrib,Keywords,Text
0,0,30.0,0.508899986743927,"strong, today, send, instead, personal, flood, lead, sometimes, story, affect","['happy', 'impressed', 'woman', 'feel', 'comfortable', 'shed', 'light', 'experience', 'harassment', 'change', 'long', 'await']"
1,1,19.0,0.38449999690055847,"one, father, leave, college, quiet, run, new, scar, meet, ill","['angry', 'let', 'guy', 'stop', 'tell', 'story']"
2,2,14.0,0.2827000021934509,"girl, comment, kid, different, pay, multiple, watch, group, opinion, hate","['hate', 'see', 'hero', 'fall', 'man', 'need', 'know', 'ok', 'behavior']"
3,3,3.0,0.2305999994277954,"woman, hashtag, speak, know, movement, many, experience, talk, story, name","['think', 'time', 'stop', 'call', 'horny', 'man', 'dog', 'that', 's', 'insult', 'dog']"
4,4,5.0,0.3864000141620636,"late, daily, longer, claim, america, treat, explain, actress, history, address","['change', 'never', 'happen', 'remain', 'silent']"
5,5,16.0,0.29490000009536743,"sure, news, women, light, attempt, force, interview, allegation, official, shin","['contrast', 'statement', 'man', 'catch', 'situation']"
6,6,15.0,0.28450000286102295,"world, go, truth, wait, allow, courage, date, finally, rape, viral","['aly', 'raisman', 'standing', 'solidarity', 'movement', 'pic']"
7,7,3.0,0.3853999972343445,"woman, hashtag, speak, know, movement, many, experience, talk, story, name","['alyssa_milano', 'happy', 'campaign', 'give', 'woman', 'voice', 'want', 'hashtag', 'movement']"
8,8,1.0,0.3903000056743622,"well, day, ago, lose, pain, who, idea, say, suppose, have","['ellen', 'degenere', 'join', 'movement', 'think', 'important', 'speak', 'sham', 'anyone']"
9,9,3.0,0.3855000138282776,"woman, hashtag, speak, know, movement, many, experience, talk, story, name","['alyssa_milano', 'happy', 'campaign', 'give', 'woman', 'voice', 'want', 'hashtag', 'movement']"
10,10,1.0,0.3901999890804291,"well, day, ago, lose, pain, who, idea, say, suppose, have","['ellen', 'degenere', 'join', 'movement', 'think', 'important', 'speak', 'sham', 'anyone']"
11,11,13.0,0.36329999566078186,"move, list, next, guess, perpetrator, often, retweet, mine, music, weight","['make', 'difference', 'give', 'someone', 'need', 'able', 'say']"
12,12,23.0,0.310699999332428,"daughter, social_media, unfortunately, amazing, ashamed, molest, wife, everyday, gender, feed","['certain', 'people', 'presence', 'give', 'creepy', 'vibe', 'woman', 'know', 'tht', 'feeling', 'sometimes', 'sexual', 'predator', 'hide', 'sheep', 'cloth', 'know', 'come']"
13,13,3.0,0.44029998779296875,"woman, hashtag, speak, know, movement, many, experience, talk, story, name","['thank', 'ellen', 'speak', 'sharing', 'story', 'bring', 'voice', 'many', 'woman', 'woman', 'feel', 'pain']"
14,14,24.0,0.42579999566078186,"mean, hear, everywhere, son, trigger, understand, grab, spread, sexual, dear","['california', 'rep', 'jackie', 'speier', 'launch', 'democratic', 'congresswoman', 'call', 'capitol', 'hill', 'breed', 'pic']"
15,15,3.0,0.3434000015258789,"woman, hashtag, speak, know, movement, many, experience, talk, story, name","['first', 'boyfriend', 'want', 'give', 'blowjob', 'grab', 'head', 'push', 'hold', 'head']"
16,16,5.0,0.33399999141693115,"late, daily, longer, claim, america, treat, explain, actress, history, address","['sister', 'husband', 'start', 'play', 'game', 'chasing', 'house', 'always', 'end', 'finger', 'inside']"
17,17,29.0,0.4223000109195709,"boy, young, sad, happen, age, abuser, learn, anything, man, grope","['sister', 'husband', 'put', 'hand', 'underwear', 'think', 'butt', 'sexy']"
18,18,3.0,0.2782000005245209,"woman, hashtag, speak, know, movement, many, experience, talk, story, name","['push', 'ladder', 'forcefully', 'kiss', 'work']"
19,19,5.0,0.2971999943256378,"late, daily, longer, claim, america, treat, explain, actress, history, address","['late', 'miguel', 'lizarraga', 'daily']"
20,20,6.0,0.26600000262260437,"trend, action, violence, sexual, proud, survivor, male, accuser, liar, question","['timely', 'article']"
21,21,4.0,0.3862999975681305,"alone, believe, support, turn, respect, fault, ppl, party, survivor, shit","['stop', 'normalize', 'sexual', 'harassment', 'stop', 'say', 'well', 'expect', 'egypt', 'man', 'man']"
22,22,0.0,0.4334999918937683,"year, old, first, job, really, later, never, boss, walk, time","['even', 'wrong', 'first', 'time', 'year', 'old', 'never', 'forget', 'continue', 'today']"
23,23,12.0,0.3012999892234802,"care, harvey_weinstein, conversation, begin, together, else, join, behavior, little, suffer","['confession', 'shortly', 'applaud', 'who', 'have', 'speak', 'be', 'strong', 'everywhere', 'life', 'report']"
24,24,4.0,0.3970000147819519,"alone, believe, support, turn, respect, fault, ppl, party, survivor, shit","['harness', 'energy', 'take', 'america', 'notorious', 'sexual', 'assaulte']"
25,25,28.0,0.4625999927520752,"listen, always, may, ever, afraid, roy_moore, reason, include, stranger, sound","['week', 'repugnant', 'publicity', 'stunt', 'stag', 'collaborator', 'meanwhile', 'puerto', 'rico', 'virgin', 'island', 'norca']"
26,26,7.0,0.4185999929904938,"thank, man, respond, side, trauma, brave, realize, wake, easy, hit","['aged', 'sexual', 'assault', 'call', 'hit', 'uncomfortable', 'relentless', 'pass', 'take', 'advantage']"
27,27,0.0,0.3077999949455261,"year, old, first, job, really, later, never, boss, walk, time","['accuse', 'grab', 'booby', 'trump', 'troll', 'block', 'years_ago', 'blocklist']"
28,28,30.0,0.31369999051094055,"strong, today, send, instead, personal, flood, lead, sometimes, story, affect","['interesting', 'rep', 'contact', 'instead', 'decide', 'take', 'advantage']"
