user,sent,tweet
suedees,,so happy&impressed that women feel more comfortable shedding light on experiences w/sexual harassment. this change was long awaited. # metoo
Shaggygirl,,# metoo
adlersalias,,# metoo
katymurta,,it's ok to be angry. don't let some guy's uncomfortableness stop you from telling your story. # metoo
katymurta,,i hate to see my heroes fall but men need to know this is not ok behavior. # louisck # metoo # sexualabuse # sexualpredators # sexualassault
katymurta,,"i think it's about time that we stop calling horny men ""dogs"" because that's insulting to dogs. # metoo # sexualharassment # nomoresexism"
katymurta,,change never happens by remaining silent # metoo
FreeMrktCptlst,,contrast this to statements from every other man caught up in a # metoo situationhttps://twitter.com/ap/status/929053992419823617 …
enews,,aly raisman is standing in solidarity with the # metoo movement. http://eonli.ne/2yyclkc pic.twitter.com/gh9nqcsgmh
enews,,alyssa milano is happy the # metoo campaign has given women a voice & wants it to be more than a hashtag movement.http://eonli.ne/2zmyito
enews,,"ellen degeneres has joined the # metoo movement: ""i think it's important to speak out and not be shamed by anyone.""http://eonli.ne/2grisks"
enews,,alyssa milano is happy the # metoo campaign has given women a voice & wants it to be more than a hashtag movement.http://eonli.ne/2guaxba
enews,,"ellen degeneres has joined the # metoo movement: ""i think it's important to speak out and not be shamed by anyone.""http://eonli.ne/2yybxss"
annettepratt,,# metoo
Michell_eM,,why # metoo can make a difference and give # voice to someone who needed to be able to say it.https://twitter.com/voxdotcom/status/919549390867648512 …
janu282,,certain people’s presence just gives creepy vibe. as women  we know tht feeling. sometimes sexual predator hide in sheep cloth but we know when they come out. # metoo
janu282,,thank you ellen for speaking out  sharing your story and bring voice to many other women. as woman i can feel ur pain. # metoo
DoyleGlobal,,"california rep. jackie speier launches # metoocongress: the democratic congresswoman calls capitol hill ""a breeding… http://s.doyle.media/pxyxwf pic.twitter.com/6rtydauyux"
emmakinloch,,# metoo
croittle,,# metoo
NYJetsluver,,my first boyfriend wanted me to give him a blowjob. he grabbed my head  pushed me down and held my head there. i was 19. # metoo
NYJetsluver,,my sister’s husband started playing a game by chasing me around the house. it always ended with his finger inside me. i was 15. # metoo
NYJetsluver,,my sister’s husband put his hand in my underwear because he thought my butt was sexy. i was 12. # metoo
NYJetsluver,,i was pushed up against a ladder and forcefully kissed while at work. i was 19. # metoo
JuiceMan99,,# metoo a0qžhttps://twitter.com/ashleywarrior/status/922500306511986690 …
mikelizarraga,,the latest the miguel lizarraga daily! https://paper.li/mikelizarraga?edition_id=07526e90-b4e6-11e7-b291-0cc47a0d164b … # metoo # upyourgameatwork
stephielh,,# metoo timely article… https://www.instagram.com/p/baxtuidfram/
AndreaEHailey,,http://www.cnn.com/2017/10/30/health/metoo-legacy/index.html …
AlaaAbdulRahma1,,# metoo http://fb.me/6whsjyrkx
AlaaAbdulRahma1,,"# metoo stop normalizing sexual harassment. stop saying ""well  what do you expect in egypt?"" or ""men are men""... http://fb.me/etxayq6m"
AbigailHills,,# metoo even # sexualharassment is wrong! my first time was at 12 years old  and i will never forget the # shame. it continues to today. # stop
elaine_iagatta,,# metoo http://start.att.net/player/category/news/article/the_hollywood_report-metoo_reaches_nearly_500000_posts_on_twitter_thr_n-prometheus … confession shortly. i applaud all who've spoken out. i'm strong everywhere in my life except reporting this.
NuzzSr,,http://www.foxnews.com/politics/2017/10/19/bill-clinton-accuser-broaddrick-slams-lewinsky-over-metoo-tweet.amp.html …
socalscootergal,,now can we harness this energy to take down america's most notorious sexual assaulter/harasser/abuser/ @ realdonaldtrump ? # metoo
socalscootergal,,this week's repugnant publicity stunt staged by @ realdonaldtrump and collaborators. meanwhile  puerto rico  virgin islands  norca  # metoohttps://twitter.com/jdawsey1/status/920346321281802241 …
socalscootergal,,# metoo and me 3 and me 5
ccfolk,,"@ accesshollywood before i aged out  sexual assault was called ""hitting on me"" uncomfortable & relentless passes.taking advantage. # metoo"
FunnyFaceKing,,"# arianebellamar. who accused @ jeremypiven of grabbing her ""boobies"" is a trump troll blocked years ago by @ wilw's blocklist. # metoohttps://twitter.com/wilw/status/688149812881960961 …"
FunnyFaceKing,,interesting that you or your reps didn't contact @ cbs about it  but instead decided to take advantage of # metoo
ShelKenn,,# metoo @ chelseaperetti @ joshuarofe___ @ staceywilliamspic.twitter.com/zay5tzvusf
lisathefeierman,,important analysis on # metoo  rape culture  and donald trump -->https://twitter.com/c_cauterucci/status/928695206429515776 …
lisathefeierman,,. @ meetthepress reached out to all 21 female senators re: # metoo. 4—all democrats—came forward to share experiences.http://fortune.com/2017/10/23/me-too-hashtag-senators-meet-the-press/ …
malbruja69,,http://www.cnn.com/2017/10/20/health/weinstein-metoo-moments/index.html …
ThyGeekGoddess,,# metoo !https://twitter.com/megansarak/status/929786261488861184 …
ThyGeekGoddess,,remember how travon martin wanted to be a pilot? well  # metoo   dagnabbit and i think my bff at @ faa is going on seven years past retirementpic.twitter.com/qjhclgvlif
ThyGeekGoddess,,@ alyssa_milano # metoohttps://twitter.com/13newsnow/status/920938855615881216 …
ThyGeekGoddess,,put this in # metoo category! fargo/moorhead area cost me years of intentional malpractice wrong meds job hoarding auto theft! @ alfranken
NancyBragin,,a powerful  poignant post about men's role in the # metoo movement went viral.http://www.upworthy.com/a-powerful-poignant-post-about-mens-role-in-the-metoo-movement-went-viral?g=2&c=upw1 …
nerdygirl007,,been thinking the same thing. # metoohttps://twitter.com/shirmirart/status/919844916372664320 …
Jimmyspolitics,,to be clear  using your perceived power over someone sexually  unless consensual  makes you a sexual predator. # metoomen # metoo
Joseph_Sarfati,,# poetrybursts # brooklynconference my degree has been used upon by societies plot to rise against humanity # metoo is # whyiwrite universal # jnhttps://twitter.com/joseph_sarfati/status/921421805268754432 …
Joseph_Sarfati,,how many men/women been legally victimized by liars who abuse the trust of the american justice system. it's wrong & needs attention # metoopic.twitter.com/5k8tiliq70
Joseph_Sarfati,,# metoo can mean anything anyone wants. if you have been a victim of something that was traumatic. @ twitter is a place for all to share bfair
Joseph_Sarfati,,until i met my mother dads parents raised me until they died  a love that taught me the value of family & life # treatwomenwithrespect # metoopic.twitter.com/fkleck0ch8
kthale,,thank you @ lupita_nyongo for sharing such a profoundly personal story illuminating common themes of predators https://nyti.ms/2kznitu # metoo
ChanelBeery,,# metoo # girlpower # unitedwestandpic.twitter.com/4rh6il3uzk
ChrisLutolf,,thank you  @ lunaluvgood2017. # metoo # wearethechange # girlsbelonghere # girlsempowerment # girlsrule # girlsincharge # girlspower # girlsmatter # girlscountpic.twitter.com/zey4szjpze
ChrisLutolf,,# metoo # wearethechange # womenempowerment # womenkickass # womensmovementneverstops # womenveterans # girlsbelonghere # girlstakeover # girlscount # girlsempowerment # girlsrule # girlswithknowledge # strongertogether # impeach45 # theresistance # trumpcrimefamilypic.twitter.com/mlo6efo9vd
ChrisLutolf,,100%  @ peaceloveagain. but in light of wide movements - e.g. # metoo  # meat14  # womensmarch  # roymoore (merely tip of the iceberg)  djt's misogynistic cabinet - it's more than appropriate for 's issues to take centre stage & for to shut up  to listen & to reflect on t/s.pic.twitter.com/hvxqrtuwyu
ChrisLutolf,,excellence in covering 's* issues such as # believeher/ # metoo to @ oliviaresists. * it should be just as much's issues for that matter.https://twitter.com/oliviaresists/status/924037731545702401 …
MonicaArcia,,news: hollywood holds # metoo march against sexual harassmenthttp://www.bbc.com/news/world-us-canada-41964399 …
MonicaArcia,,news: portia de rossi accuses steven seagal of sexual harassment http://www.bbc.com/news/world-us-canada-41936741 … # metoo
MonicaArcia,,news: # metoo twitter flooded with personal stories of assaulthttp://edition.cnn.com/2017/10/15/entertainment/me-too-twitter-alyssa-milano/index.html?utm_source=feedburner&utm_medium=feed&utm_campaign=feed%3a+rss%2fcnn_latest+%28rss%3a+cnn+-+most+recent%29 …
MissShirlz,,# metoo why do i still feel guilty after all these years for wanting to say out loud # metoo
ttobey220,,# metoo
ediesummers,,http://mikemorrell.org/2017/10/an-open-letter-to-my-brothers-in-light-of-metoo/ …
jennyarntzenPhD,,it is easy to see who russia wants to win. putin is out to destroy america. # unhackthevote  be vigilante and join the women who are leading the charge # metoo.https://twitter.com/kidcasteel/status/919954280471318528 …
jennyarntzenPhD,,women unite. # metoo shows how many of us have been our worst oppressors. speak up. tell us your story of sexual harassment. disempower male sexual aggression as a means to disempower women.
jennyarntzenPhD,,let's take # metoo and translate it into a rallying cry for equality  justice  and sustainable economies. women  we have great power. that is why men do so much to suppress and oppress us.https://twitter.com/kylegriffin1/status/920021733855453190 …
jennyarntzenPhD,,"are you familiar with the beloved npr program ""car talk""? can we put together a podcast offering for a call in show where women can call in and report sexual assault and discuss on air what to do next? # metoo"
jennyarntzenPhD,,# metoohttps://twitter.com/dumbravioli/status/919717734191128576 …
MarcusSharon,,women who’ve been murdered by their abusers aren’t alive to tweet # metoo.https://twitter.com/kharyp/status/919923397806653443 …
CamillaDessing,,hopefully it will change now  it’s about time # metoo
