,tweet,lemma
0,so happy&impressed that women feel more comfortable shedding light on experiences  harassment. this change was long awaited. metoo,"['happy', 'impressed', 'woman', 'feel', 'comfortable', 'shed', 'light', 'experience', 'harassment', 'change', 'long', 'await']"
1,metoo,[]
2,metoo,[]
3,its ok to be angry. dont let some guys uncomfortableness stop you from telling your story. metoo,"['angry', 'let', 'guy', 'stop', 'tell', 'story']"
4,i hate to see my heroes fall but men need to know this is not ok behavior.  metoo,"['hate', 'see', 'hero', 'fall', 'man', 'need', 'know', 'ok', 'behavior']"
5,"i think its about time that we stop calling horny men ""dogs"" because thats insulting to dogs. metoo","['think', 'time', 'stop', 'call', 'horny', 'man', 'dog', 'that', 's', 'insult', 'dog']"
6,change never happens by remaining silent metoo,"['change', 'never', 'happen', 'remain', 'silent']"
7,contrast this to statements from every other man caught up in a metoo situation …,"['contrast', 'statement', 'man', 'catch', 'situation']"
8,aly raisman is standing in solidarity with the metoo movement.  pic.,"['aly', 'raisman', 'standing', 'solidarity', 'movement', 'pic']"
9,alyssa milano is happy the metoo campaign has given women a voice & wants it to be more than a hashtag movement.,"['alyssa_milano', 'happy', 'campaign', 'give', 'woman', 'voice', 'want', 'hashtag', 'movement']"
10,"ellen degeneres has joined the metoo movement: ""i think its important to speak out and not be shamed by anyone.""","['ellen', 'degenere', 'join', 'movement', 'think', 'important', 'speak', 'sham', 'anyone']"
11,alyssa milano is happy the metoo campaign has given women a voice & wants it to be more than a hashtag movement.,"['alyssa_milano', 'happy', 'campaign', 'give', 'woman', 'voice', 'want', 'hashtag', 'movement']"
12,"ellen degeneres has joined the metoo movement: ""i think its important to speak out and not be shamed by anyone.""","['ellen', 'degenere', 'join', 'movement', 'think', 'important', 'speak', 'sham', 'anyone']"
13,metoo,[]
14,why metoo can make a difference and give  to someone who needed to be able to say it. …,"['make', 'difference', 'give', 'someone', 'need', 'able', 'say']"
15,certain people’s presence just gives creepy vibe. as women we know tht feeling. sometimes sexual predator hide in sheep cloth but we know when they come out. metoo,"['certain', 'people', 'presence', 'give', 'creepy', 'vibe', 'woman', 'know', 'tht', 'feeling', 'sometimes', 'sexual', 'predator', 'hide', 'sheep', 'cloth', 'know', 'come']"
16,thank you ellen for speaking out sharing your story and bring voice to many other women. as woman i can feel ur pain. metoo,"['thank', 'ellen', 'speak', 'sharing', 'story', 'bring', 'voice', 'many', 'woman', 'woman', 'feel', 'pain']"
17,"california rep. jackie speier launches metoo the democratic congresswoman calls capitol hill ""a breeding…  pic.","['california', 'rep', 'jackie', 'speier', 'launch', 'democratic', 'congresswoman', 'call', 'capitol', 'hill', 'breed', 'pic']"
18,metoo,[]
19,metoo,[]
20,my first boyfriend wanted me to give him a blowjob. he grabbed my head pushed me down and held my head there. i was 19. metoo,"['first', 'boyfriend', 'want', 'give', 'blowjob', 'grab', 'head', 'push', 'hold', 'head']"
21,my sister’s husband started playing a game by chasing me around the house. it always ended with his finger inside me. i was 15. metoo,"['sister', 'husband', 'start', 'play', 'game', 'chasing', 'house', 'always', 'end', 'finger', 'inside']"
22,my sister’s husband put his hand in my underwear because he thought my butt was sexy. i was 12. metoo,"['sister', 'husband', 'put', 'hand', 'underwear', 'think', 'butt', 'sexy']"
23,i was pushed up against a ladder and forcefully kissed while at work. i was 19. metoo,"['push', 'ladder', 'forcefully', 'kiss', 'work']"
24,metoo a0qž …,[]
25,the latest the miguel lizarraga daily!  … metoo,"['late', 'miguel', 'lizarraga', 'daily']"
26,metoo timely article…,"['timely', 'article']"
27,…,[]
28,metoo,[]
29,"metoo stop normalizing sexual harassment. stop saying ""well what do you expect in egypt?"" or ""men are men""...","['stop', 'normalize', 'sexual', 'harassment', 'stop', 'say', 'well', 'expect', 'egypt', 'man', 'man']"
30,metoo even  is wrong! my first time was at 12 years old and i will never forget the  it continues to today.,"['even', 'wrong', 'first', 'time', 'year', 'old', 'never', 'forget', 'continue', 'today']"
31,metoo  … confession shortly. i applaud all whove spoken out. im strong everywhere in my life except reporting this.,"['confession', 'shortly', 'applaud', 'who', 'have', 'speak', 'be', 'strong', 'everywhere', 'life', 'report']"
32,…,[]
33,now can we harness this energy to take down americas most notorious sexual assaulte ? metoo,"['harness', 'energy', 'take', 'america', 'notorious', 'sexual', 'assaulte']"
34,this weeks repugnant publicity stunt staged by and collaborators. meanwhile puerto rico virgin islands norca metoo …,"['week', 'repugnant', 'publicity', 'stunt', 'stag', 'collaborator', 'meanwhile', 'puerto', 'rico', 'virgin', 'island', 'norca']"
35,metoo and me 3 and me 5,[]
36,"before i aged out sexual assault was called ""hitting on me"" uncomfortable & relentless passes.taking advantage. metoo","['aged', 'sexual', 'assault', 'call', 'hit', 'uncomfortable', 'relentless', 'pass', 'take', 'advantage']"
37,"who accused of grabbing her ""boobies"" is a trump troll blocked years ago by blocklist. metoo …","['accuse', 'grab', 'booby', 'trump', 'troll', 'block', 'years_ago', 'blocklist']"
38,interesting that you or your reps didnt contact about it but instead decided to take advantage of metoo,"['interesting', 'rep', 'contact', 'instead', 'decide', 'take', 'advantage']"
39,metoo,[]
40,important analysis on metoo rape culture and donald trump --> …,"['important', 'analysis', 'rape', 'culture', 'donald_trump']"
41,. reached out to all 21 female senators re: metoo 4—all democrats—came forward to share experiences. …,"['reach', 'female', 'senator', 'democrat', 'come', 'forward', 'share', 'experience']"
42,…,[]
43,metoo ! …,[]
44,remember how travon martin wanted to be a pilot? well metoo dagnabbit and i think my bff at is going on seven years past retirementpic.,"['remember', 'travon', 'martin', 'want', 'pilot', 'well', 'dagnabbit', 'think', 'go', 'year', 'retirementpic']"
45,metoo …,[]
46,put this in metoo category! farg area cost me years of intentional malpractice wrong meds job hoarding auto theft!,"['put', 'category', 'farg', 'area', 'cost', 'year', 'intentional', 'malpractice', 'wrong', 'med', 'job', 'hoarding', 'auto', 'theft']"
47,a powerful poignant post about mens role in the metoo movement went viral. …,"['powerful', 'poignant', 'post', 'men', 'role', 'movement', 'go', 'viral']"
48,been thinking the same thing. metoo …,"['think', 'thing']"
49,to be clear using your perceived power over someone sexually unless consensual makes you a sexual predator. metoo metoo,"['clear', 'use', 'perceive', 'power', 'someone', 'sexually', 'consensual', 'make', 'sexual', 'predator']"
50,my degree has been used upon by societies plot to rise against humanity metoo is  universal  …,"['degree', 'use', 'society', 'plot', 'rise', 'humanity', 'universal']"
51,how many me been legally victimized by liars who abuse the trust of the american justice system. its wrong & needs attention metoo,"['many', 'legally', 'victimize', 'liar', 'abuse', 'trust', 'american', 'justice', 'system', 'wrong', 'need', 'attention']"
52,metoo can mean anything anyone wants. if you have been a victim of something that was traumatic. is a place for all to share bfair,"['mean', 'anything', 'anyone', 'want', 'victim', 'something', 'traumatic', 'place', 'share', 'bfair']"
