,Dominant_Topic,Perc_Contribution,Topic_Keywords,0
0,2.0,0.1594,"man, woman, time, be, get, help, year, good, need, friend","[u'happy', u'impressed', u'woman', u'feel', u'comfortable', u'shed', u'light', u'experience', u'harassment', u'change', u'long', u'await']"
1,2.0,0.1577,"man, woman, time, be, get, help, year, good, need, friend","[u'angry', u'let', u'guy', u'stop', u'tell', u'story']"
2,2.0,0.1606,"man, woman, time, be, get, help, year, good, need, friend","[u'hate', u'see', u'hero', u'fall', u'man', u'need', u'know', u'ok', u'behavior']"
3,2.0,0.166,"man, woman, time, be, get, help, year, good, need, friend","[u'think', u'time', u'stop', u'call', u'horny', u'man', u'dog', u'that', u's', u'insult', u'dog']"
4,2.0,0.1643,"man, woman, time, be, get, help, year, good, need, friend","[u'change', u'never', u'happen', u'remain', u'silent']"
5,2.0,0.1601,"man, woman, time, be, get, help, year, good, need, friend","[u'contrast', u'statement', u'man', u'catch', u'situation']"
6,2.0,0.1583,"man, woman, time, be, get, help, year, good, need, friend","[u'aly_raisman', u'stand', u'solidarity', u'movement']"
7,2.0,0.1578,"man, woman, time, be, get, help, year, good, need, friend","[u'alyssa_milano', u'happy', u'campaign', u'give', u'woman', u'voice', u'want', u'hashtag', u'movement']"
8,2.0,0.1571,"man, woman, time, be, get, help, year, good, need, friend","[u'ellen', u'degenere', u'join', u'movement', u'think', u'important', u'speak', u'sham', u'anyone']"
9,2.0,0.1578,"man, woman, time, be, get, help, year, good, need, friend","[u'alyssa_milano', u'happy', u'campaign', u'give', u'woman', u'voice', u'want', u'hashtag', u'movement']"
10,2.0,0.1571,"man, woman, time, be, get, help, year, good, need, friend","[u'ellen', u'degenere', u'join', u'movement', u'think', u'important', u'speak', u'sham', u'anyone']"
11,2.0,0.16,"man, woman, time, be, get, help, year, good, need, friend","[u'make', u'difference', u'give', u'someone', u'need', u'able', u'say']"
12,2.0,0.1594,"man, woman, time, be, get, help, year, good, need, friend","[u'certain', u'people', u'presence', u'give', u'creepy', u'vibe', u'woman', u'know', u'tht', u'feeling', u'sometimes', u'sexual', u'predator', u'hide', u'sheep', u'cloth', u'know', u'come']"
13,2.0,0.1581,"man, woman, time, be, get, help, year, good, need, friend","[u'thank', u'ellen', u'speak', u'sharing', u'story', u'bring', u'voice', u'many', u'woman', u'woman', u'feel', u'pain']"
14,2.0,0.1623,"man, woman, time, be, get, help, year, good, need, friend","[u'california', u'rep', u'jackie', u'speier', u'launch', u'democratic', u'congresswoman', u'call', u'capitol_hill', u'breeding']"
15,2.0,0.1595,"man, woman, time, be, get, help, year, good, need, friend","[u'first', u'boyfriend', u'want', u'give', u'blowjob', u'grab', u'head', u'push', u'hold', u'head']"
16,2.0,0.1569,"man, woman, time, be, get, help, year, good, need, friend","[u'sister', u'husband', u'start', u'play', u'game', u'chasing', u'house', u'always', u'end', u'finger', u'inside']"
17,2.0,0.158,"man, woman, time, be, get, help, year, good, need, friend","[u'sister', u'husband', u'put', u'hand', u'underwear', u'think', u'butt', u'sexy']"
18,2.0,0.1594,"man, woman, time, be, get, help, year, good, need, friend","[u'push', u'ladder', u'forcefully', u'kiss', u'work']"
19,2.0,0.1596,"man, woman, time, be, get, help, year, good, need, friend","[u'late', u'miguel', u'lizarraga', u'daily']"
20,2.0,0.1591,"man, woman, time, be, get, help, year, good, need, friend","[u'timely', u'article']"
21,2.0,0.1602,"man, woman, time, be, get, help, year, good, need, friend","[u'stop', u'normalize', u'sexual', u'harassment', u'stop', u'say', u'well', u'expect', u'egypt', u'man', u'man']"
22,2.0,0.1815,"man, woman, time, be, get, help, year, good, need, friend","[u'even', u'wrong', u'first', u'time', u'year', u'old', u'never', u'forget', u'continue', u'today']"
23,2.0,0.1615,"man, woman, time, be, get, help, year, good, need, friend","[u'confession', u'shortly', u'applaud', u'who', u'have', u'speak', u'be', u'strong', u'everywhere', u'life', u'report']"
24,2.0,0.1701,"man, woman, time, be, get, help, year, good, need, friend","[u'harness', u'energy', u'take', u'america', u'notorious', u'sexual', u'assaulte']"
25,2.0,0.1617,"man, woman, time, be, get, help, year, good, need, friend","[u'week', u'repugnant', u'publicity', u'stunt', u'stag', u'collaborator', u'meanwhile', u'puerto', u'rico', u'virgin', u'island', u'norca']"
26,2.0,0.1592,"man, woman, time, be, get, help, year, good, need, friend","[u'aged', u'sexual', u'assault', u'call', u'hit', u'uncomfortable', u'relentless', u'pass', u'take', u'advantage']"
27,2.0,0.1581,"man, woman, time, be, get, help, year, good, need, friend","[u'accuse', u'grab', u'booby', u'trump', u'troll', u'block', u'years_ago', u'blocklist']"
28,2.0,0.1767,"man, woman, time, be, get, help, year, good, need, friend","[u'interesting', u'rep', u'contact', u'instead', u'decide', u'take', u'advantage']"
29,2.0,0.158,"man, woman, time, be, get, help, year, good, need, friend","[u'important', u'analysis', u'rape', u'culture', u'donald_trump']"
30,2.0,0.1572,"man, woman, time, be, get, help, year, good, need, friend","[u'reach', u'female', u'senator', u'democrat', u'come', u'forward', u'share', u'experience']"
31,2.0,0.1602,"man, woman, time, be, get, help, year, good, need, friend","[u'remember', u'travon', u'martin', u'want', u'pilot', u'well', u'dagnabbit', u'think', u'go', u'year', u'retirementpic']"
32,2.0,0.1632,"man, woman, time, be, get, help, year, good, need, friend","[u'put', u'category', u'farg', u'area', u'cost', u'year', u'intentional', u'malpractice', u'wrong', u'med', u'job', u'hoarding', u'auto', u'theft']"
33,2.0,0.1594,"man, woman, time, be, get, help, year, good, need, friend","[u'powerful', u'poignant', u'post', u'men', u'role', u'movement', u'go', u'viral']"
34,2.0,0.166,"man, woman, time, be, get, help, year, good, need, friend","[u'think', u'thing']"
35,2.0,0.1614,"man, woman, time, be, get, help, year, good, need, friend","[u'clear', u'use', u'perceive', u'power', u'someone', u'sexually', u'consensual', u'make', u'sexual', u'predator']"
36,2.0,0.1611,"man, woman, time, be, get, help, year, good, need, friend","[u'degree', u'use', u'society', u'plot', u'rise', u'humanity', u'universal']"
37,2.0,0.1606,"man, woman, time, be, get, help, year, good, need, friend","[u'many', u'legally', u'victimize', u'liar', u'abuse', u'trust', u'american', u'justice', u'system', u'wrong', u'need', u'attention']"
38,2.0,0.1611,"man, woman, time, be, get, help, year, good, need, friend","[u'mean', u'anything', u'anyone', u'want', u'victim', u'something', u'traumatic', u'place', u'share', u'bfair']"
39,2.0,0.1564,"man, woman, time, be, get, help, year, good, need, friend","[u'meet', u'mother', u'dad', u'parent', u'raise', u'die', u'love', u'teach', u'value', u'family', u'life']"
40,2.0,0.1585,"man, woman, time, be, get, help, year, good, need, friend","[u'thank', u'share', u'profoundly', u'personal', u'story', u'illuminate', u'common', u'theme', u'predator']"
41,2.0,0.1596,"man, woman, time, be, get, help, year, good, need, friend",[u'thank']
42,2.0,0.158,"man, woman, time, be, get, help, year, good, need, friend","[u'light', u'wide', u'movement', u'merely', u'tip', u'iceberg', u'djt', u'misogynistic', u'cabinet', u'appropriate', u'issue', u'take', u'centre', u'stage', u'shut', u'listen', u'reflect']"
43,2.0,0.1586,"man, woman, time, be, get, help, year, good, need, friend","[u'excellence', u'cover', u'issue', u'much', u'issue', u'matter']"
44,2.0,0.158,"man, woman, time, be, get, help, year, good, need, friend","[u'news', u'hollywood', u'hold', u'sexual', u'harassment']"
45,2.0,0.1593,"man, woman, time, be, get, help, year, good, need, friend","[u'news', u'portia', u'rossi', u'accuse', u'steven', u'seagal', u'sexual', u'harassment']"
46,2.0,0.1589,"man, woman, time, be, get, help, year, good, need, friend","[u'news', u'twitter_flood', u'personal', u'story', u'assault']"
47,2.0,0.1602,"man, woman, time, be, get, help, year, good, need, friend","[u'still', u'feel', u'guilty', u'year', u'want', u'say', u'loud']"
48,2.0,0.1688,"man, woman, time, be, get, help, year, good, need, friend","[u'easy', u'see', u'russia', u'want', u'win', u'putin', u'destroy', u'america', u'join', u'woman', u'lead', u'charge']"
49,2.0,0.161,"man, woman, time, be, get, help, year, good, need, friend","[u'woman', u'unite', u'show', u'many', u'bad', u'oppressor', u'speak', u'tell', u'story', u'sexual', u'harassment', u'disempower', u'male', u'sexual', u'aggression', u'mean', u'disempower', u'woman']"
50,2.0,0.1599,"man, woman, time, be, get, help, year, good, need, friend","[u'let', u'take', u'translate', u'equality', u'justice', u'sustainable', u'economy', u'woman', u'great', u'power', u'man', u'much', u'suppress', u'oppress']"
51,2.0,0.159,"man, woman, time, be, get, help, year, good, need, friend","[u'familiar', u'beloved', u'npr', u'program', u'car', u'talk', u'put', u'together', u'podcast', u'offering', u'call', u'show', u'woman', u'call', u'report', u'sexual', u'assault', u'discuss', u'air', u'next']"
52,2.0,0.1592,"man, woman, time, be, get, help, year, good, need, friend","[u'woman', u'murder', u'abuser', u'alive', u'tweet']"
53,2.0,0.1734,"man, woman, time, be, get, help, year, good, need, friend","[u'hopefully', u'change', u'time']"
54,2.0,0.1594,"man, woman, time, be, get, help, year, good, need, friend","[u'woman', u'believe', u'story', u'disrespect', u'denigrate', u'twice']"
55,2.0,0.158,"man, woman, time, be, get, help, year, good, need, friend","[u'hotel', u'accuse', u'prostitute', u'make', u'feel', u'almost', u'violate']"
56,2.0,0.1604,"man, woman, time, be, get, help, year, good, need, friend","[u'years_ago', u'rap', u'room', u'hotel', u'employee', u'prestigious', u'camino', u'real', u'hotel', u'mexico', u'city']"
57,2.0,0.1624,"man, woman, time, be, get, help, year, good, need, friend","[u'child', u'year', u'marry']"
58,2.0,0.1618,"man, woman, time, be, get, help, year, good, need, friend","[u'teach', u'child', u'respect', u'woman', u'girl', u'alot', u'suffer']"
59,2.0,0.1629,"man, woman, time, be, get, help, year, good, need, friend","[u'man', u'respond']"
60,2.0,0.1615,"man, woman, time, be, get, help, year, good, need, friend","[u'perfectly', u'say', u'man', u'sadly', u'woman']"
61,2.0,0.163,"man, woman, time, be, get, help, year, good, need, friend","[u'even', u'fall', u'today', u'tomorrow', u'battle', u'yet', u'fight']"
62,2.0,0.1657,"man, woman, time, be, get, help, year, good, need, friend","[u'warrior', u'fight', u'war', u'odd']"
